,Player,norm-average Total Runs Scored per Innings,norm-average Dot Balls as Bowler per Innings,norm-average player of the match,norm-average experience,norm-weighted player value overall,norm-weighted player value as opponent,norm-weighted player value as teammate,experience
5332,Komal Zanzad,0.016326175212512378,0.08000761977331175,0.0,0.2570694087403599,0.07745658855570037,0.10492518822210245,0.03550264600154342,3
5333,Komalpreet Grewal,0.006530470085004951,0.041908753214591865,0.0,0.0,0.020612365827153332,0.03579319150447783,0.0039182820510029704,1
5334,Koripalli Sreekanth,0.2285664529751733,0.0,0.0,0.38560411311053977,0.151957426050709,0.05488909757033078,0.17570028309615796,4
5335,Kranthi Kumar,0.055508995722542094,0.1485855795790075,0.0,0.38560411311053977,0.1415438962555218,0.18179223108620673,0.07186580874457923,4
5336,Krishan Alang,0.0,0.14096580626726354,0.0,0.5141388174807198,0.132912492396871,0.1935807439421695,0.05141388174807198,5
5337,Krishna Chandran,0.3101973290377352,0.45718639870463856,0.0,0.8997429305912595,0.4541678438678485,0.5185457410462876,0.2760926904817671,8
5338,Krishna Das,0.013060940170009902,0.35050957234022284,0.0,1.1568123393316196,0.3187966362756386,0.46402853074844325,0.12351779803516791,10
5339,Krishnamoorthy Vignesh,0.006530470085004951,0.3428897990284789,0.0,1.0282776349614395,0.294543465063019,0.4392243118908522,0.10674604554714694,9
5340,Krishnamurthy Siddharth,0.17305745725263125,0.0,0.0,0.2570694087403599,0.11010484520632986,0.036592731713553865,0.12954141522561474,3
5341,Kruthik Hanagavadi,0.0,0.041908753214591865,0.0,0.12853470437017994,0.03606526315396104,0.05408955736125476,0.012853470437017995,2
5342,Kshitij Patel,0.2122402777626609,0.0,0.0,0.5141388174807198,0.16324195229579488,0.07318546342710773,0.17875804840566853,5
5343,Kshitiz Sharma,0.7575345298605743,0.09905705305267168,0.0,1.2853470437017995,0.5468239392317523,0.26756574757835333,0.5830554222865245,11
5344,Kukna Ajay Singh,0.0,0.04571863987046385,0.0,0.12853470437017994,0.03768648604238578,0.05734348386166183,0.012853470437017995,2
5345,Kuldeep,1.2309936110234334,0.0,3.6144578313253013,1.5424164524421595,2.280669003216078,1.763064266536167,1.977175161255866,13
5346,Kuldeep Gehi,0.3689715598027798,0.0,0.0,0.5141388174807198,0.2299358896033439,0.07318546342710773,0.27279681762973984,5
5347,Kuldeep Gurjar,0.006530470085004951,0.011429659967615963,0.0,0.12853470437017994,0.025874394101044338,0.02805814535799816,0.016771752488020965,2
5348,Kuldeep Lal,0.1208136965725916,0.14096580626726354,0.0,1.1568123393316196,0.2754814593112179,0.2850625732260542,0.1881694518767169,10
5349,Kuldeep Singh,0.026121880340019804,0.0,0.0,0.38560411311053977,0.06581109036179157,0.05488909757033078,0.05423353951506586,4
5350,Kuldeep Yadav,1.8214569478759648,17.545163031399817,21.686746987951807,32.77634961439588,22.118570756493803,28.911494406465167,10.876533226550709,256
5351,Kulwinderjeet Singh,0.5322333119279036,0.007619773311743974,1.2048192771084336,0.8997429305912595,0.870033943343058,0.649085039416534,0.7707600633483981,8
5352,Kumar Deobrat,1.5477214101461736,0.0,0.0,4.3701799485861175,1.2784842178758693,0.6220764391304155,1.365650840946316,35
5353,Kumar Kushagra,0.009795705127507427,0.0,0.0,0.5141388174807198,0.07709561660687747,0.07318546342710773,0.05729130482457643,5
5354,Kumar Nyompu,0.15346604699761637,0.0,0.0,0.38560411311053977,0.11999991442417511,0.05488909757033078,0.1306400395096238,4
5355,Kumar Rajnish,0.022856645297517332,0.0,0.0,0.12853470437017994,0.027958010571973144,0.018296365856776933,0.026567457615528395,2
5356,Kumar Subba,0.09142658119006933,0.1562053528907515,0.0,0.7712082262210798,0.21476580347588467,0.24318918165735168,0.13197677133614957,7
5357,Kumar Suraj,0.008163087606256189,0.0,0.0,0.0,0.0034736425681015097,0.0,0.004897852563753713,1
5358,Kunaal Kumar,0.0,0.011429659967615963,0.0,0.0,0.004863668665274216,0.009761779501221226,0.0,1
5359,Kunal Chandela,0.7379431196055596,0.0,0.0,1.5424164524421595,0.5327990247318435,0.2195563902813232,0.5970075170075517,13
5360,Kunal Dabas,0.23836215810268072,0.0,0.0,0.2570694087403599,0.1378939857511419,0.036592731713553865,0.1687242357356444,3
5361,Kunal Mahajan,0.026121880340019804,0.007619773311743974,0.0,0.38560411311053977,0.06905353613864104,0.06139695057114493,0.05423353951506586,4
5362,Kunal Saikia,0.068569935892552,0.0,0.0,0.0,0.029178597572052687,0.0,0.0411419615355312,1
5363,Kunwar Bidhuri,0.2416273931451832,0.0,0.0,0.2570694087403599,0.13928344277838253,0.036592731713553865,0.17068337676114587,3
